salario,exp,educ,homem
333.3333333333333,39,7,0
400,48,12,1
260,30,12,0
600,21,17,1
400,40,7,1
650,48,12,1
346.6666666666667,48,7,0
346.6666666666667,48,9,0
180,40,15,1
306.6666666666667,25,12,1
33.333333333333336,10,9,0
66.66666666666667,15,14,0
93.33333333333333,30,4,1
588.88890625,48,7,1
200,46,7,0
800,50,8,1
133.33333333333334,40,7,1
466.6666666666667,25,12,1
780,41,14,1
13.333333333333334,6,12,1
300,48,12,1
393.3333333333333,30,12,0
333.3333333333333,18,15,0
333.3333333333333,30,12,0
106.66666666666667,24,7,1
133.33333333333334,8,7,1
333.3333333333333,46,15,1
333.3333333333333,20,17,0
266.6666666666667,36,15,0
163.33333333333334,8,12,0
505.5555729166667,48,10,0
138.88889322916665,8,12,0
400,40,12,1
646.6666666666666,45,12,1
600,48,8,1
1200,48,7,0
600,46,15,0
133.33333333333334,42,12,1
106.66666666666667,4,12,0
50,7,7,0
400,25,15,0
600,40,14,0
200,30,12,1
400,8,8,1
158,20,7,1
158,15,12,1
266.6666666666667,45,15,0
80,18,12,0
80,18,12,1
333.3333333333333,40,12,0
700,48,12,0
266.6666666666667,24,7,0
400,40,6,0
266.6666666666667,40,11,0
400,40,12,0
266.6666666666667,40,12,1
266.6666666666667,45,12,0
800,10,12,0
216.66666666666666,21,9,1
200,24,12,1
233.33333333333334,24,7,1
200,14,3,0
33.333333333333336,8,7,0
148.66666666666666,12,12,1
266.6666666666667,42,9,1
86.66666666666667,30,7,0
414.6666666666667,35,12,1
600,45,15,1
185.33333333333334,18,12,1
600,40,8,1
400,35,17,1
233.33333333333334,50,12,0
200,18,2,0
360,30,10,0
480,40,9,1
80,6,13,1
466.6666666666667,32,13,0
800,12,9,1
466.6666666666667,34,9,1
220,40,11,1
507.7778125,36,10,1
66.66666666666667,4,14,0
600,45,8,1
320,48,12,0
320,24,12,0
133.33333333333334,16,10,1
100,20,9,1
800,48,12,1
40,10,12,0
320,30,7,0
320,48,11,1
300,30,9,0
300,32,11,1
733.3333333333334,20,15,0
333.3333333333333,48,12,1
286.6666666666667,7,12,0
233.33333333333334,40,9,0
200,15,10,0
300,28,13,1
533.3333333333334,40,7,1
733.3333333333334,39,11,0
166.66666666666666,48,2,1
533.3333333333334,48,12,1
80,40,7,1
533.3333333333334,40,7,0
146.66666666666666,4,12,1
133.33333333333334,4,12,0
266.6666666666667,4,12,1
400,40,12,1
133.33333333333334,40,9,1
433.3333333333333,40,13,1
350.6666666666667,18,4,0
26.666666666666668,16,11,1
246.66666666666666,8,9,1
133.33333333333334,14,15,1
577.7777604166666,40,7,1
366.6666666666667,30,12,0
300,30,15,0
333.3333333333333,20,15,0
433.3333333333333,40,12,0
266.6666666666667,30,10,1
33.333333333333336,48,12,1
533.3333333333334,40,12,0
400,40,3,0
266.6666666666667,48,12,0
666.6666666666666,45,4,1
266.6666666666667,40,11,0
566.6666666666666,45,15,1
522.2222395833334,45,7,1
800,42,12,0
488.88885416666665,36,12,1
20,38,12,0
80,24,12,0
13.333333333333334,4,14,1
66.66666666666667,10,7,0
480,35,7,1
140,12,11,0
166.66666666666666,24,9,0
466.6666666666667,30,7,0
166.66666666666666,40,4,0
133.33333333333334,8,8,1
64,8,10,0
333.3333333333333,40,11,0
400,15,7,1
146.66666666666666,8,12,0
200,28,7,1
400,36,9,0
640,40,7,1
318.6666666666667,24,10,1
466.6666666666667,45,15,1
190.66666666666666,12,12,0
293.3333333333333,48,7,1
666.6666666666666,40,12,0
200,40,12,0
153.33333333333334,24,5,1
866.6666666666666,40,10,1
533.3333333333334,48,7,1
280,35,12,0
650,45,7,0
60,40,12,1
800,48,17,0
133.33333333333334,15,7,0
600,40,5,1
573.3333333333334,48,15,0
333.3333333333333,40,9,0
166.66666666666666,24,12,0
1133.3333333333333,40,15,1
186.66666666666666,16,12,0
360,15,5,0
333.3333333333333,40,10,0
66.66666666666667,24,12,1
333.3333333333333,31,9,0
533.3333333333334,48,9,0
253.33333333333334,45,10,1
666.6666666666666,50,3,0
453.3333333333333,44,10,0
586.6666666666666,44,9,0
266.6666666666667,30,15,0
333.3333333333333,30,15,1
361.1111197916667,35,12,1
666.6666666666666,48,7,0
200,24,4,1
233.33333333333334,34,9,1
333.3333333333333,49,15,1
333.3333333333333,40,12,0
561.11109375,40,9,0
13.333333333333334,3,9,0
466.6666666666667,50,12,1
333.3333333333333,40,9,0
266.6666666666667,50,17,0
266.6666666666667,17,15,0
320,30,9,0
566.6666666666666,45,12,1
260,5,7,1
313.3333333333333,9,12,1
333.3333333333333,12,12,1
153.33333333333334,4,11,1
553.3333333333334,44,7,0
500,40,12,1
400,42,13,1
200,15,12,1
400,48,7,0
400,40,7,1
400,40,7,0
266.6666666666667,40,7,0
133.33333333333334,42,3,1
200,15,12,0
466.6666666666667,40,13,0
413.3333333333333,30,11,0
533.3333333333334,48,7,0
580,48,14,1
86.66666666666667,4,12,0
200,30,12,1
300,44,12,1
533.3333333333334,35,16,1
80,12,12,0
280,12,8,0
120,15,15,1
333.3333333333333,30,15,0
266.6666666666667,15,17,1
266.6666666666667,50,9,0
533.3333333333334,45,6,1
666.6666666666666,40,8,1
833.3333333333334,30,15,1
233.33333333333334,20,12,1
666.6666666666666,40,7,1
133.33333333333334,11,9,0
466.6666666666667,45,15,0
333.3333333333333,48,12,0
120,24,17,1
53.333333333333336,4,9,1
333.3333333333333,30,7,1
266.6666666666667,24,12,1
216.66666666666666,30,7,0
400,40,12,1
100,8,12,0
333.3333333333333,25,7,1
333.3333333333333,40,8,1
266.6666666666667,40,7,1
266.6666666666667,16,8,1
466.6666666666667,35,12,0
600,40,7,1
133.33333333333334,36,12,0
461.11109375,30,12,1
577.7777604166666,40,12,0
466.6666666666667,40,12,0
573.3333333333334,30,14,1
26.666666666666668,6,3,0
200,48,9,0
133.33333333333334,25,12,1
466.6666666666667,24,14,1
266.6666666666667,29,9,1
133.33333333333334,40,7,0
186.66666666666666,6,11,1
280,30,11,1
213.33333333333334,42,8,1
946.6666666666666,48,12,1
66.66666666666667,18,12,1
266.6666666666667,10,9,1
400,40,12,1
433.3333333333333,40,7,0
200,12,7,1
720,48,12,1
280,24,7,1
216.66666666666666,20,14,0
106.66666666666667,50,7,1
266.6666666666667,40,7,1
400,45,15,1
66.66666666666667,20,12,1
566.6666666666666,40,13,1
553.3333333333334,48,12,0
600,40,12,1
400,50,15,1
133.33333333333334,2,15,1
100,36,7,1
213.33333333333334,36,7,0
566.6666666666666,28,10,0
100,30,8,0
300,20,12,0
178.88889322916665,24,12,0
233.33333333333334,25,9,1
500,33,12,1
800,20,15,0
66.66666666666667,8,15,1
200,20,12,0
233.33333333333334,30,12,0
633.3333333333334,48,7,0
133.33333333333334,12,12,0
533.3333333333334,48,7,1
266.6666666666667,24,7,0
573.3333333333334,40,14,1
333.3333333333333,48,12,1
186.66666666666666,48,13,1
266.6666666666667,40,12,1
213.33333333333334,44,12,0
200,12,8,0
200,38,14,0
166.66666666666666,24,12,0
600,45,13,1
240,18,12,1
400,40,10,1
133.33333333333334,20,9,1
650,44,11,1
66.66666666666667,9,12,1
153.33333333333334,20,7,0
200,40,7,0
566.6666666666666,45,7,0
533.3333333333334,8,7,1
400,48,8,0
73.33333333333333,21,10,0
266.6666666666667,26,10,1
64,16,7,1
533.3333333333334,40,12,0
333.3333333333333,48,9,0
333.3333333333333,48,9,1
533.3333333333334,25,15,0
200,12,11,0
533.3333333333334,25,11,0
133.33333333333334,4,12,1
533.3333333333334,44,15,1
280,40,10,0
653.3333333333334,48,9,0
213.33333333333334,25,9,0
480,40,9,1
566.6666666666666,40,12,1
53.333333333333336,8,10,0
600,30,7,1
133.33333333333334,10,9,0
533.3333333333334,48,7,0
613.3333333333334,45,12,0
333.3333333333333,42,12,1
480,48,12,1
288.8888802083333,40,12,1
400,42,17,0
133.33333333333334,16,11,0
933.3333333333334,40,15,0
106.66666666666667,16,7,0
266.6666666666667,24,14,0
866.6666666666666,40,7,1
333.3333333333333,48,0,0
133.33333333333334,28,0,0
133.33333333333334,28,0,0
666.6666666666666,50,15,0
422.2222135416667,48,12,0
360,14,12,1
800,43,12,0
266.6666666666667,48,8,0
466.6666666666667,45,7,0
360,6,12,0
620,48,12,0
400,20,12,0
146.66666666666666,34,14,0
186.66666666666666,14,15,1
360,48,13,1
66.66666666666667,40,12,1
106.66666666666667,12,7,0
640,50,7,0
666.6666666666666,48,15,1
40,10,19,0
966.6666666666666,45,11,1
286.6666666666667,48,7,1
213.33333333333334,24,0,0
200,30,12,1
1000,36,7,0
566.6666666666666,40,12,1
44.666666666666664,3,15,0
566.6666666666666,40,5,0
393.3333333333333,18,7,1
333.3333333333333,40,12,1
433.3333333333333,45,7,1
505.5555729166667,48,10,0
288.8888802083333,30,10,1
533.3333333333334,36,12,0
200,45,7,0
146.66666666666666,6,13,0
180,48,12,1
453.3333333333333,50,11,0
200,36,7,1
333.3333333333333,24,12,1
266.6666666666667,24,12,0
400,50,5,0
21.333333333333332,2,12,1
200,30,12,1
533.3333333333334,48,7,1
320,24,7,1
600,48,12,0
133.33333333333334,18,12,1
453.3333333333333,40,14,1
115.55555989583333,15,7,1
216.66666666666666,28,12,1
200,15,14,1
266.6666666666667,40,7,0
266.6666666666667,24,7,1
200,20,8,0
146.66666666666666,23,7,0
266.6666666666667,47,10,0
533.3333333333334,20,12,1
1000,45,15,1
166.66666666666666,9,12,0
40,1,12,1
12,2,10,1
24,2,1,1
500,30,9,1
573.3333333333334,15,12,0
160,20,9,1
600,40,14,0
380,20,12,0
166.66666666666666,24,12,0
66.66666666666667,5,7,0
213.33333333333334,15,12,1
13.333333333333334,15,12,1
233.33333333333334,14,7,1
466.6666666666667,40,7,0
133.33333333333334,12,7,1
266.6666666666667,32,12,1
211.11110677083335,36,12,1
320,50,12,0
733.3333333333334,50,7,0
400,40,9,1
186.66666666666666,8,15,0
400,10,7,1
373.3333333333333,21,7,0
166.66666666666666,15,12,1
600,40,12,1
533.3333333333334,30,7,0
300,46,12,1
466.6666666666667,35,12,1
600,45,12,0
433.3333333333333,48,10,1
420,17,12,1
800,42,7,0
666.6666666666666,40,15,1
133.33333333333334,15,7,1
300,48,12,0
666.6666666666666,40,7,0
180,20,7,0
400,19,11,1
53.333333333333336,20,10,0
53.333333333333336,20,8,1
66.66666666666667,10,12,0
33.333333333333336,40,12,0
600,3,9,0
166.66666666666666,12,0,0
120,18,12,0
333.3333333333333,48,15,1
866.6666666666666,44,12,0
380,49,14,0
320,30,11,0
266.6666666666667,18,12,1
133.33333333333334,45,12,0
533.3333333333334,45,12,0
460,42,12,0
650,45,7,1
132.66666666666666,18,10,0
533.3333333333334,43,7,0
249.6,14,10,1
533.3333333333334,35,12,0
100,10,8,1
1033.3333333333333,40,12,1
800,44,7,0
233.33333333333334,35,9,0
200,48,10,1
133.33333333333334,8,14,1
186.66666666666666,50,3,0
200,15,12,1
200,36,8,0
66.66666666666667,40,10,0
166.66666666666666,9,0,0
733.3333333333334,45,12,1
446.6666666666667,20,7,1
333.3333333333333,30,7,0
53.333333333333336,5,12,0
593.3333333333334,12,14,1
100,9,10,1
266.6666666666667,48,12,0
80,12,7,1
733.3333333333334,24,12,0
333.3333333333333,40,12,0
666.6666666666666,40,12,0
56.666666666666664,4,16,0
53.333333333333336,8,3,1
600,48,11,0
400,48,15,1
160,8,7,0
333.3333333333333,40,12,0
153.33333333333334,16,12,1
66.66666666666667,40,16,0
506.6666666666667,18,0,1
133.33333333333334,12,5,1
533.3333333333334,32,7,1
133.33333333333334,30,6,0
366.6666666666667,45,15,0
53.333333333333336,3,14,1
666.6666666666666,48,7,1
66.66666666666667,8,14,0
733.3333333333334,35,15,1
533.3333333333334,40,17,1
66.66666666666667,20,13,1
200,50,12,1
533.3333333333334,40,9,0
200,24,12,0
100,24,12,0
100,24,12,1
333.3333333333333,14,12,1
533.3333333333334,44,12,0
176.66666666666666,12,13,1
100,20,7,1
333.3333333333333,20,17,0
800,45,3,1
323.3333333333333,34,9,0
288,20,12,0
400,32,8,1
466.6666666666667,15,7,0
460,45,12,0
200,50,12,1
400,50,10,1
266.6666666666667,41,16,1
493.3333333333333,39,12,1
533.3333333333334,45,12,1
400,40,7,1
266.6666666666667,42,8,0
440,48,12,1
113.33333333333333,16,12,0
644.4444270833334,42,12,0
266.6666666666667,30,11,0
866.6666666666666,40,7,0
53.333333333333336,8,8,0
53.333333333333336,8,8,0
666.6666666666666,40,11,1
333.3333333333333,24,17,0
200,25,12,1
176,26,7,1
666.6666666666666,36,7,1
300,20,7,1
266.6666666666667,40,7,0
133.33333333333334,20,7,1
200,20,8,1
666.6666666666666,40,12,0
20,3,12,0
266.6666666666667,35,12,1
400,24,12,0
400,45,7,0
406.6666666666667,48,12,0
406.6666666666667,48,11,0
366.6666666666667,20,15,1
333.3333333333333,25,17,0
400,27,12,0
600,40,5,1
733.3333333333334,43,12,1
200,40,12,1
533.3333333333334,20,7,1
480,35,9,0
200,25,12,1
133.33333333333334,25,12,1
146.66666666666666,25,12,1
466.6666666666667,40,7,0
266.6666666666667,20,15,0
666.6666666666666,35,12,0
266.6666666666667,18,12,1
577.7777604166666,40,12,0
491.11109375,40,10,1
33.333333333333336,6,12,0
53.333333333333336,18,12,1
466.6666666666667,49,9,0
53.333333333333336,8,15,1
333.3333333333333,30,14,0
333.3333333333333,44,3,1
333.3333333333333,20,12,0
333.3333333333333,37,14,0
333.3333333333333,48,9,1
200,20,8,0
480,50,5,0
133.33333333333334,40,12,1
537.7777604166666,40,17,0
361.1111197916667,40,11,1
380,48,8,1
333.3333333333333,36,12,0
333.3333333333333,20,13,0
800,40,17,1
533.3333333333334,40,10,1
300,40,12,1
366.6666666666667,30,12,0
400,40,14,0
320,48,9,1
533.3333333333334,49,17,0
460,48,15,1
166.66666666666666,15,12,1
733.3333333333334,48,15,0
186.66666666666666,20,12,0
186.66666666666666,20,12,0
766.6666666666666,48,7,0
166.66666666666666,45,9,0
560,45,12,1
500,40,12,0
293.3333333333333,32,17,1
253.33333333333334,28,12,1
600,44,12,1
153.33333333333334,12,12,0
666.6666666666666,50,7,0
166.66666666666666,36,7,1
773.3333333333334,34,7,0
800,8,11,1
200,12,10,0
533.3333333333334,40,10,1
266.6666666666667,48,12,1
100,21,10,1
266.6666666666667,48,NA,0
200,48,10,0
186.66666666666666,6,12,0
340,20,12,0
400,50,7,1
400,24,12,1
577.7777604166666,48,12,1
400,48,15,0
420,25,15,0
40,40,12,1
400,4,12,1
933.3333333333334,18,9,1
533.3333333333334,45,9,1
666.6666666666666,42,12,1
133.33333333333334,25,2,0
600,50,12,0
126.66666666666667,8,7,0
333.3333333333333,40,7,1
533.3333333333334,34,15,1
640,40,12,1
440,35,12,1
40,4,12,1
433.3333333333333,40,12,1
433.3333333333333,40,14,0
33.333333333333336,5,7,1
233.33333333333334,22,8,1
86.66666666666667,4,12,1
653.3333333333334,7,12,1
533.3333333333334,50,12,1
200,12,1,1
133.33333333333334,20,10,1
400,40,12,1
600,30,12,0
53.333333333333336,20,11,1
166.66666666666666,12,12,0
726.6666666666666,45,10,0
646.6666666666666,32,17,1
500,45,8,0
320,40,7,0
666.6666666666666,45,11,1
400,30,8,0
533.3333333333334,48,11,0
33.333333333333336,16,7,1
300,24,7,1
466.6666666666667,40,11,0
533.3333333333334,40,12,1
574.6666666666666,45,12,0
533.3333333333334,48,7,1
266.6666666666667,48,7,0
361.1111197916667,40,12,1
333.3333333333333,24,12,1
333.3333333333333,23,7,0
160,20,12,0
833.3333333333334,48,15,0
866.6666666666666,36,15,1
400,48,17,1
466.6666666666667,45,17,0
106.66666666666667,42,12,1
106.66666666666667,42,12,0
600,48,14,1
333.3333333333333,42,7,0
266.6666666666667,35,12,1
253.33333333333334,35,12,0
400,27,12,0
133.33333333333334,9,12,0
486.6666666666667,48,12,0
266.6666666666667,45,12,0
266.6666666666667,45,12,0
100,40,9,1
433.3333333333333,48,12,0
333.3333333333333,20,7,1
466.6666666666667,30,7,1
366.6666666666667,40,14,1
400,40,12,0
800,8,15,0
66.66666666666667,17,12,1
106.66666666666667,15,10,0
213.33333333333334,40,7,1
156,26,7,0
600,50,7,1
222,9,12,1
666.6666666666666,40,0,0
200,30,7,1
533.3333333333334,48,7,1
125.33333333333333,48,11,0
466.6666666666667,20,12,0
866.6666666666666,45,15,1
333.3333333333333,28,12,1
333.3333333333333,28,12,1
66.66666666666667,10,7,0
500,30,13,0
733.3333333333334,39,11,0
66.66666666666667,3,17,0
800,40,8,0
200,9,8,0
400,30,12,0
794.4444270833334,45,12,1
400,20,9,1
533.3333333333334,48,12,1
533.3333333333334,24,7,1
100,12,9,0
866.6666666666666,48,8,0
400,40,3,0
433.3333333333333,24,14,0
664.4444270833334,40,12,1
133.33333333333334,8,10,1
666.6666666666666,36,7,0
666.6666666666666,48,13,0
333.3333333333333,48,13,1
333.3333333333333,48,13,1
400,24,14,0
266.6666666666667,30,15,0
